,City,State,Country,location
4330,Orlando,FL,USA,"Orlando,FL,USA"
4331,Staten Island,NY,USA,"Staten Island,NY,USA"
4332,Hayden,ID,USA,"Hayden,ID,USA"
4333,Thornton,CO,USA,"Thornton,CO,USA"
4334,Baker (Outside of; on I-84),OR,USA,"Baker (Outside of; on I-84),OR,USA"
4335,"Outside Baker, OR, on hwy 84",OR,USA,"Outside Baker, OR, on hwy 84,OR,USA"
4336,Sandy,UT,USA,"Sandy,UT,USA"
4337,Waterford,MI,USA,"Waterford,MI,USA"
4338,North Bergen,NJ,USA,"North Bergen,NJ,USA"
4339,Orient,WA,USA,"Orient,WA,USA"
4340,Seattle,WA,USA,"Seattle,WA,USA"
4341,Marathon,FL,USA,"Marathon,FL,USA"
4342,Birmingham (UK/Wales),United Kingdom,United Kingdom,"Birmingham (UK/Wales),United Kingdom,United Kingdom"
4343,Camp Sherman,OR,USA,"Camp Sherman,OR,USA"
4344,Appleton,WA,USA,"Appleton,WA,USA"
4345,Silt,CO,USA,"Silt,CO,USA"
4346,Beverly,MA,USA,"Beverly,MA,USA"
4347,Los Ángeles,CA,USA,"Los Ángeles,CA,USA"
4348,Modesto,CA,USA,"Modesto,CA,USA"
4349,McFarland,CA,USA,"McFarland,CA,USA"
4350,Woodland,WA,USA,"Woodland,WA,USA"
4351,Beverly,MA,USA,"Beverly,MA,USA"
4352,Las Vegas,NV,USA,"Las Vegas,NV,USA"
4353,Walla Walla,WA,USA,"Walla Walla,WA,USA"
4354,Kennesaw,GA,USA,"Kennesaw,GA,USA"
4355,Billings,MT,USA,"Billings,MT,USA"
4356,Port Saint Lucie,FL,USA,"Port Saint Lucie,FL,USA"
4357,Dayton,OH,USA,"Dayton,OH,USA"
4358,Portland,OR,USA,"Portland,OR,USA"
4359,Las Vegas,NM,USA,"Las Vegas,NM,USA"
4360,Vienna,VA,USA,"Vienna,VA,USA"
4361,Hico,WV,USA,"Hico,WV,USA"
4362,NoLos Angeles (northeast of),CA,USA,"NoLos Angeles (northeast of),CA,USA"
4363,North Myrtle Beach (Crescent Beach),SC,USA,"North Myrtle Beach (Crescent Beach),SC,USA"
4364,Fresno,CA,USA,"Fresno,CA,USA"
4365,Fairdale,WV,USA,"Fairdale,WV,USA"
4366,Kingston,NY,USA,"Kingston,NY,USA"
4367,Boise,ID,USA,"Boise,ID,USA"
4368,Albuquerque,NM,USA,"Albuquerque,NM,USA"
4369,Huddleston,VA,USA,"Huddleston,VA,USA"
4370,Farmington Hills,MI,USA,"Farmington Hills,MI,USA"
4371,Boise,ID,USA,"Boise,ID,USA"
4372,Stamford,CT,USA,"Stamford,CT,USA"
4373,Doylestown,OH,USA,"Doylestown,OH,USA"
4374,Danville,NH,USA,"Danville,NH,USA"
4375,Lakeview,OH,USA,"Lakeview,OH,USA"
4376,Salina,KS,USA,"Salina,KS,USA"
4377,Warrensburg,MO,USA,"Warrensburg,MO,USA"
4378,Littleton,CO,USA,"Littleton,CO,USA"
4379,Willowick,OH,USA,"Willowick,OH,USA"
4380,Chester Springs,PA,USA,"Chester Springs,PA,USA"
4381,Lawrence,KS,USA,"Lawrence,KS,USA"
4382,Sullivan,OH,USA,"Sullivan,OH,USA"
4383,Sullivan,OH,USA,"Sullivan,OH,USA"
4384,Darlington,MD,USA,"Darlington,MD,USA"
4385,Greenfield,NH,USA,"Greenfield,NH,USA"
4386,New York City,NY,USA,"New York City,NY,USA"
4387,Merced,CA,USA,"Merced,CA,USA"
4388,Armadale (Australia),,Australia,"Armadale (Australia),Australia"
4389,Merced,CA,USA,"Merced,CA,USA"
4390,Wells,ME,USA,"Wells,ME,USA"
4391,Ajax (Canada),ON,Canada,"Ajax (Canada),ON,Canada"
4392,Garrettsville,OH,USA,"Garrettsville,OH,USA"
4393,Northbrook,IL,USA,"Northbrook,IL,USA"
4394,Bel Aire,KS,USA,"Bel Aire,KS,USA"
4395,Mirror Lake area,UT,USA,"Mirror Lake area,UT,USA"
4396,Portsmouth,VA,USA,"Portsmouth,VA,USA"
4397,West Chazy,NY,USA,"West Chazy,NY,USA"
4398,Red Top Mountain,GA,USA,"Red Top Mountain,GA,USA"
4399,Marysville,OH,USA,"Marysville,OH,USA"
4400,Ogontz,ME,USA,"Ogontz,ME,USA"
4401,Whitehall,NY,USA,"Whitehall,NY,USA"
4402,Whitehall,NY,USA,"Whitehall,NY,USA"
4403,"Bridge Lake, Lone Butte (Canada)",BC,Canada,"Bridge Lake, Lone Butte (Canada),BC,Canada"
4404,Redmond,OR,USA,"Redmond,OR,USA"
4405,Nazareth,PA,USA,"Nazareth,PA,USA"
4406,Smithville (Canada),ON,Canada,"Smithville (Canada),ON,Canada"
4407,Menomonee Falls,WI,USA,"Menomonee Falls,WI,USA"
4408,Lexington,KY,USA,"Lexington,KY,USA"
4409,Chaumont,NY,USA,"Chaumont,NY,USA"
4410,The Colony,TX,USA,"The Colony,TX,USA"
4411,Oceanside,CA,USA,"Oceanside,CA,USA"
4412,Havertown,PA,USA,"Havertown,PA,USA"
4413,Santa Barbara,CA,USA,"Santa Barbara,CA,USA"
4414,Hutto,TX,USA,"Hutto,TX,USA"
4415,Westland,MI,USA,"Westland,MI,USA"
4416,Hanover,MD,USA,"Hanover,MD,USA"
4417,Corpus Christi,TX,USA,"Corpus Christi,TX,USA"
4418,Gunnison,CO,USA,"Gunnison,CO,USA"
4419,Nanaimo (Canada),BC,Canada,"Nanaimo (Canada),BC,Canada"
4420,Sandy,OR,USA,"Sandy,OR,USA"
4421,Plano,TX,USA,"Plano,TX,USA"
4422,Rossmond,CA,USA,"Rossmond,CA,USA"
4423,Riverside,CA,USA,"Riverside,CA,USA"
4424,Buckingham,VA,USA,"Buckingham,VA,USA"
4425,North Las Vegas,NV,USA,"North Las Vegas,NV,USA"
4426,Death Valley National Park region,NV,USA,"Death Valley National Park region,NV,USA"
4427,Dunedin,FL,USA,"Dunedin,FL,USA"
4428,Paramount,CA,USA,"Paramount,CA,USA"
4429,Brown Deer,WI,USA,"Brown Deer,WI,USA"
4430,Medford,OR,USA,"Medford,OR,USA"
4431,Orem,UT,USA,"Orem,UT,USA"
4432,Canterbury,CT,USA,"Canterbury,CT,USA"
4433,Garrettsville,OH,USA,"Garrettsville,OH,USA"
4434,Devil's Lake,ND,USA,"Devil's Lake,ND,USA"
4435,Not sure outside lubeck,WV,USA,"Not sure outside lubeck,WV,USA"
4436,Spokane,WA,USA,"Spokane,WA,USA"
4437,Fort Collins (West of),CO,USA,"Fort Collins (West of),CO,USA"
4438,Klamath Falls,OR,USA,"Klamath Falls,OR,USA"
4439,Superior,WI,USA,"Superior,WI,USA"
4440,Ankeny,IA,USA,"Ankeny,IA,USA"
4441,Wichita,KS,USA,"Wichita,KS,USA"
4442,Flanders,NJ,USA,"Flanders,NJ,USA"
4443,Edgewater,NJ,USA,"Edgewater,NJ,USA"
4444,Dartmouth,MA,USA,"Dartmouth,MA,USA"
4445,Ocean Isle Beach,NC,USA,"Ocean Isle Beach,NC,USA"
4446,Hellertown,PA,USA,"Hellertown,PA,USA"
4447,Lowell,MA,USA,"Lowell,MA,USA"
4448,Alden,NY,USA,"Alden,NY,USA"
4449,Mayfield,NY,USA,"Mayfield,NY,USA"
4450,Bury st Ed munds (UK/England),,United Kingdom,"Bury st Ed munds (UK/England),United Kingdom"
4451,Gordon,WI,USA,"Gordon,WI,USA"
4452,Denver,NC,USA,"Denver,NC,USA"
4453,Glen Mills,PA,USA,"Glen Mills,PA,USA"
4454,San Antonio,TX,USA,"San Antonio,TX,USA"
4455,Dayton,OH,USA,"Dayton,OH,USA"
4456,Virginia Beach,VA,USA,"Virginia Beach,VA,USA"
4457,Chillicothe,OH,USA,"Chillicothe,OH,USA"
4458,Cicero,NY,USA,"Cicero,NY,USA"
4459,Jacksonville,OR,USA,"Jacksonville,OR,USA"
4460,Lakeport,NY,USA,"Lakeport,NY,USA"
4461,North Highlands,CA,USA,"North Highlands,CA,USA"
4462,Mt. Vernon,IN,USA,"Mt. Vernon,IN,USA"
4463,Midvale,UT,USA,"Midvale,UT,USA"
4464,San Tan Valley,AZ,USA,"San Tan Valley,AZ,USA"
4465,Smilax,KY,USA,"Smilax,KY,USA"
4466,Emmaus,PA,USA,"Emmaus,PA,USA"
4467,Kissimmee,FL,USA,"Kissimmee,FL,USA"
4468,Barkhamsted,CT,USA,"Barkhamsted,CT,USA"
4469,Shelton,WA,USA,"Shelton,WA,USA"
4470,Albuquerque,NM,USA,"Albuquerque,NM,USA"
4471,Southwick,MA,USA,"Southwick,MA,USA"
4472,Lords Valley,PA,USA,"Lords Valley,PA,USA"
4473,Lords Valley,PA,USA,"Lords Valley,PA,USA"
4474,Lancaster,CA,USA,"Lancaster,CA,USA"
4475,Upper Chichester,PA,USA,"Upper Chichester,PA,USA"
4476,Winfield,IN,USA,"Winfield,IN,USA"
4477,Branford,CT,USA,"Branford,CT,USA"
4478,Largo,FL,USA,"Largo,FL,USA"
4479,Everett,WA,USA,"Everett,WA,USA"
4480,Oceanside,CA,USA,"Oceanside,CA,USA"
4481,Brown Deer,WI,USA,"Brown Deer,WI,USA"
4482,Kansas City,MO,USA,"Kansas City,MO,USA"
4483,Tacoma,WA,USA,"Tacoma,WA,USA"
4484,Ajax (Canada),ON,Canada,"Ajax (Canada),ON,Canada"
4485,Bozrah,CT,USA,"Bozrah,CT,USA"
4486,Homer Glen,IL,USA,"Homer Glen,IL,USA"
4487,Lords Valley,PA,USA,"Lords Valley,PA,USA"
4488,Aylett,VA,USA,"Aylett,VA,USA"
4489,Pulasko,TN,USA,"Pulasko,TN,USA"
4490,Millerton,PA,USA,"Millerton,PA,USA"
4491,Orlando,FL,USA,"Orlando,FL,USA"
4492,kansas city,MO,USA,"kansas city,MO,USA"
4493,Gray,TN,USA,"Gray,TN,USA"
4494,Cobb island,MD,USA,"Cobb island,MD,USA"
4495,Wichita,KS,USA,"Wichita,KS,USA"
4496,Lakeside,AZ,USA,"Lakeside,AZ,USA"
4497,Sandy Lake,PA,USA,"Sandy Lake,PA,USA"
4498,Radford,VA,USA,"Radford,VA,USA"
4499,Worthville,PA,USA,"Worthville,PA,USA"
4500,Thorndale,PA,USA,"Thorndale,PA,USA"
4501,Beloit,WI,USA,"Beloit,WI,USA"
4502,Reno,NV,USA,"Reno,NV,USA"
4503,Wickliffe,KY,USA,"Wickliffe,KY,USA"
4504,Stuart,FL,USA,"Stuart,FL,USA"
4505,Mesa,AZ,USA,"Mesa,AZ,USA"
4506,Wrentham,MA,USA,"Wrentham,MA,USA"
4507,Louisville,KY,USA,"Louisville,KY,USA"
4508,Camarillo,CA,USA,"Camarillo,CA,USA"
4509,Hanford,CA,USA,"Hanford,CA,USA"
4510,Fayetteville,AR,USA,"Fayetteville,AR,USA"
4511,Midway City,CA,USA,"Midway City,CA,USA"
4512,Louisville,KY,USA,"Louisville,KY,USA"
4513,Swindon (Wiltshire)(UK/England),,United Kingdom,"Swindon (Wiltshire)(UK/England),United Kingdom"
4514,Roanoke,VA,USA,"Roanoke,VA,USA"
4515,Clemmons,NC,USA,"Clemmons,NC,USA"
4516,Uintah Wilderness,UT,USA,"Uintah Wilderness,UT,USA"
4517,Hayward,WI,USA,"Hayward,WI,USA"
4518,West Fork,AR,USA,"West Fork,AR,USA"
4519,Clarksburg,WV,USA,"Clarksburg,WV,USA"
4520,Colorado Springs,CO,USA,"Colorado Springs,CO,USA"
4521,Merrimack,NH,USA,"Merrimack,NH,USA"
4522,Plano,TX,USA,"Plano,TX,USA"
4523,Roseburg,OR,USA,"Roseburg,OR,USA"
4524,Madison Heights,MI,USA,"Madison Heights,MI,USA"
4525,Salt Lake City,UT,USA,"Salt Lake City,UT,USA"
4526,Arrey,NM,USA,"Arrey,NM,USA"
4527,Lincoln,NH,USA,"Lincoln,NH,USA"
4528,Atwater,CA,USA,"Atwater,CA,USA"
4529,West Bloomfiled,MI,USA,"West Bloomfiled,MI,USA"
4530,Ferozpur (Punjab)(India),,India,"Ferozpur (Punjab)(India),India"
4531,Astoria,NY,USA,"Astoria,NY,USA"
4532,Littlerock,CA,USA,"Littlerock,CA,USA"
4533,Council Bluffs,IA,USA,"Council Bluffs,IA,USA"
4534,Chesapeake,VA,USA,"Chesapeake,VA,USA"
4535,Garrettsville,OH,USA,"Garrettsville,OH,USA"
4536,Rahway,NJ,USA,"Rahway,NJ,USA"
4537,Jacksonville,FL,USA,"Jacksonville,FL,USA"
4538,Oslo (Norway),,Norway,"Oslo (Norway),Norway"
4539,Grand Forks,ND,USA,"Grand Forks,ND,USA"
4540,New Kensington,PA,USA,"New Kensington,PA,USA"
4541,Los Angeles,CA,USA,"Los Angeles,CA,USA"
4542,Louisburg,NC,USA,"Louisburg,NC,USA"
4543,Erie,PA,USA,"Erie,PA,USA"
4544,Irwin,PA,USA,"Irwin,PA,USA"
4545,New Florence,PA,USA,"New Florence,PA,USA"
4546,West Chester,PA,USA,"West Chester,PA,USA"
4547,Clinton,NJ,USA,"Clinton,NJ,USA"
4548,Schuylkill Haven,PA,USA,"Schuylkill Haven,PA,USA"
4549,Erie,PA,USA,"Erie,PA,USA"
4550,Pompano Beach,FL,USA,"Pompano Beach,FL,USA"
4551,Lords Valley,PA,USA,"Lords Valley,PA,USA"
4552,St. Paris,OH,USA,"St. Paris,OH,USA"
4553,Clayton,GA,USA,"Clayton,GA,USA"
4554,Santa Fe,NM,USA,"Santa Fe,NM,USA"
4555,Phoenix,AZ,USA,"Phoenix,AZ,USA"
4556,Phoenix,AZ,USA,"Phoenix,AZ,USA"
4557,Jefferson City,MO,USA,"Jefferson City,MO,USA"
4558,Peoria,IL,USA,"Peoria,IL,USA"
4559,Rankin Inlet (Nunavut)(Canada),,Canada,"Rankin Inlet (Nunavut)(Canada),Canada"
4560,Lynnwood,WA,USA,"Lynnwood,WA,USA"
4561,Scott City,MO,USA,"Scott City,MO,USA"
4562,Colton,CA,USA,"Colton,CA,USA"
4563,Merritt Island,FL,USA,"Merritt Island,FL,USA"
4564,Manchester,CT,USA,"Manchester,CT,USA"
4565,Aidrie (Canada),AB,Canada,"Aidrie (Canada),AB,Canada"
4566,Yukon,OK,USA,"Yukon,OK,USA"
4567,San Tan Valley,AZ,USA,"San Tan Valley,AZ,USA"
4568,Mill Creek,WA,USA,"Mill Creek,WA,USA"
4569,Loraine,OH,USA,"Loraine,OH,USA"
4570,Kaministiquia (Canada),ON,Canada,"Kaministiquia (Canada),ON,Canada"
4571,Matinhos (Brazil),,Brazil,"Matinhos (Brazil),Brazil"
4572,Dash Point,WA,USA,"Dash Point,WA,USA"
4573,Dash Point,WA,USA,"Dash Point,WA,USA"
4574,Deatsville,AL,USA,"Deatsville,AL,USA"
4575,Granite Shoals,TX,USA,"Granite Shoals,TX,USA"
4576,Richland,WA,USA,"Richland,WA,USA"
4577,Oakland,CA,USA,"Oakland,CA,USA"
4578,Trenton,FL,USA,"Trenton,FL,USA"
4579,Annapolis,MD,USA,"Annapolis,MD,USA"
4580,Sumner,WA,USA,"Sumner,WA,USA"
4581,Greenfield,MA,USA,"Greenfield,MA,USA"
4582,Yorkville,NY,USA,"Yorkville,NY,USA"
4583,Aliquippa,PA,USA,"Aliquippa,PA,USA"
4584,Orlando,FL,USA,"Orlando,FL,USA"
4585,Mills,PA,USA,"Mills,PA,USA"
4586,Morristown,TN,USA,"Morristown,TN,USA"
4587,Hillsborough,NJ,USA,"Hillsborough,NJ,USA"
4588,Duluth,MN,USA,"Duluth,MN,USA"
4589,Hatteras,NC,USA,"Hatteras,NC,USA"
4590,Between Sardinia and Winchester,OH,USA,"Between Sardinia and Winchester,OH,USA"
4591,Pittsburgh,PA,USA,"Pittsburgh,PA,USA"
4592,New York City (Manhattan),NY,USA,"New York City (Manhattan),NY,USA"
4593,Lacey,WA,USA,"Lacey,WA,USA"
4594,Cuyahoga Falls/Akron,OH,USA,"Cuyahoga Falls/Akron,OH,USA"
4595,West Abington Township,PA,USA,"West Abington Township,PA,USA"
4596,Bridgman,MI,USA,"Bridgman,MI,USA"
4597,Portsmouth and Virginia Beach,VA,USA,"Portsmouth and Virginia Beach,VA,USA"
4598,Owen Sound (Canada),ON,Canada,"Owen Sound (Canada),ON,Canada"
4599,Williamsburg,VA,USA,"Williamsburg,VA,USA"
4600,Allentown,PA,USA,"Allentown,PA,USA"
4601,Stevensville,MD,USA,"Stevensville,MD,USA"
4602,Middletown,CT,USA,"Middletown,CT,USA"
4603,Moweaqua,IL,USA,"Moweaqua,IL,USA"
4604,Puyallup,WA,USA,"Puyallup,WA,USA"
4605,Levittown,PA,USA,"Levittown,PA,USA"
4606,Bagdad,AZ,USA,"Bagdad,AZ,USA"
4607,Sandord,FL,USA,"Sandord,FL,USA"
4608,Fullerton,CA,USA,"Fullerton,CA,USA"
4609,Salt Lake City,UT,USA,"Salt Lake City,UT,USA"
4610,Dale City,VA,USA,"Dale City,VA,USA"
4611,Pittsburgh,,USA,"Pittsburgh,USA"
4612,Shenandoah,OH,USA,"Shenandoah,OH,USA"
4613,St. Louis,MO,USA,"St. Louis,MO,USA"
4614,Goodland,KS,USA,"Goodland,KS,USA"
4615,California City,CA,USA,"California City,CA,USA"
4616,Mt. Vernon,IN,USA,"Mt. Vernon,IN,USA"
4617,Riverview,FL,USA,"Riverview,FL,USA"
4618,Santa fe,NM,USA,"Santa fe,NM,USA"
4619,Mt. Vernon,IN,USA,"Mt. Vernon,IN,USA"
4620,Dawson,PA,USA,"Dawson,PA,USA"
4621,Pueblo,CO,USA,"Pueblo,CO,USA"
4622,Bloomington,IN,USA,"Bloomington,IN,USA"
4623,Doral,FL,USA,"Doral,FL,USA"
4624,Emerald Park (Canada),SK,Canada,"Emerald Park (Canada),SK,Canada"
4625,Westfield,NY,USA,"Westfield,NY,USA"
4626,Upperville,VA,USA,"Upperville,VA,USA"
4627,East Northport,NY,USA,"East Northport,NY,USA"
4628,Denver,CO,USA,"Denver,CO,USA"
4629,Harper Woods,MI,USA,"Harper Woods,MI,USA"
4630,Fort Lauderdale,FL,USA,"Fort Lauderdale,FL,USA"
4631,Boise,ID,USA,"Boise,ID,USA"
4632,Bourbon/Scott/Harrison County line,KY,USA,"Bourbon/Scott/Harrison County line,KY,USA"
4633,Nockamixon township,PA,USA,"Nockamixon township,PA,USA"
4634,Coudersport,PA,USA,"Coudersport,PA,USA"
4635,San Antonio,TX,USA,"San Antonio,TX,USA"
4636,Holyoke,MA,USA,"Holyoke,MA,USA"
4637,Vienna,IL,USA,"Vienna,IL,USA"
4638,Yucca Valley,CA,USA,"Yucca Valley,CA,USA"
4639,Virginia Beach,VA,USA,"Virginia Beach,VA,USA"
4640,Temperance,MI,USA,"Temperance,MI,USA"
4641,Maumee,OH,USA,"Maumee,OH,USA"
4642,Wales,MI,USA,"Wales,MI,USA"
4643,New York City (Brooklyn),NY,USA,"New York City (Brooklyn),NY,USA"
4644,Harrison,ID,USA,"Harrison,ID,USA"
4645,Larnaka,Larnaca District,Cyprus,"Larnaka,Larnaca District,Cyprus"
4646,Duncan (Canada),BC,Canada,"Duncan (Canada),BC,Canada"
4647,Aventura,FL,USA,"Aventura,FL,USA"
4648,Lawrenceville,GA,USA,"Lawrenceville,GA,USA"
4649,Los Altos,CA,USA,"Los Altos,CA,USA"
4650,Hannah City,IL,USA,"Hannah City,IL,USA"
4651,Jakarta (Indonesia),,Indonesia,"Jakarta (Indonesia),Indonesia"
4652,Newburgh,IN,USA,"Newburgh,IN,USA"
4653,Girardville,PA,USA,"Girardville,PA,USA"
4654,Girardville,PA,USA,"Girardville,PA,USA"
4655,Mt. Vernon,IN,USA,"Mt. Vernon,IN,USA"
4656,Highland,WI,USA,"Highland,WI,USA"
4657,RANCHO CORDOVA,CA,USA,"RANCHO CORDOVA,CA,USA"
4658,Spokane,WA,USA,"Spokane,WA,USA"
4659,Conway,SC,USA,"Conway,SC,USA"
4660,Chicato,IL,USA,"Chicato,IL,USA"
4661,Watsonville,CA,USA,"Watsonville,CA,USA"
4662,Burlington,VT,USA,"Burlington,VT,USA"
4663,Henderson,NV,USA,"Henderson,NV,USA"
4664,Seattle,WA,USA,"Seattle,WA,USA"
4665,Lorain,OH,USA,"Lorain,OH,USA"
4666,Marshall,MO,USA,"Marshall,MO,USA"
4667,Fresno,CA,USA,"Fresno,CA,USA"
4668,Obetz,OH,USA,"Obetz,OH,USA"
4669,Erie,CO,USA,"Erie,CO,USA"
4670,Greenville,IL,USA,"Greenville,IL,USA"
4671,Terre Haute,IN,USA,"Terre Haute,IN,USA"
4672,Mineral,VA,USA,"Mineral,VA,USA"
4673,Weaverville,CA,USA,"Weaverville,CA,USA"
4674,Salina,KS,USA,"Salina,KS,USA"
4675,Plainview,NY,USA,"Plainview,NY,USA"
4676,Catalina Island,CA,USA,"Catalina Island,CA,USA"
4677,Richmond Hill,NY,USA,"Richmond Hill,NY,USA"
4678,New Berlin,WI,USA,"New Berlin,WI,USA"
4679,Hilliard/Columbus,OH,USA,"Hilliard/Columbus,OH,USA"
4680,Roche Harbor,WA,USA,"Roche Harbor,WA,USA"
4681,Lafollette,TN,USA,"Lafollette,TN,USA"
4682,Springboro,OH,USA,"Springboro,OH,USA"
4683,Mentor-On-The-Lake,OH,USA,"Mentor-On-The-Lake,OH,USA"
4684,Palmetto,FL,USA,"Palmetto,FL,USA"
4685,Emmaus,PA,USA,"Emmaus,PA,USA"
4686,Hatboro,PA,USA,"Hatboro,PA,USA"
4687,Bakersfield,CA,USA,"Bakersfield,CA,USA"
4688,Selbyville,DE,USA,"Selbyville,DE,USA"
4689,Selbyville,DE,USA,"Selbyville,DE,USA"
4690,Gassaway,WV,USA,"Gassaway,WV,USA"
4691,Hamden,CT,USA,"Hamden,CT,USA"
4692,Old Bridge,NJ,USA,"Old Bridge,NJ,USA"
4693,Kissimmee,FL,USA,"Kissimmee,FL,USA"
4694,West Allis,WI,USA,"West Allis,WI,USA"
4695,Plainfield,IL,USA,"Plainfield,IL,USA"
4696,Denver,CO,USA,"Denver,CO,USA"
4697,Bellmawr,NJ,USA,"Bellmawr,NJ,USA"
4698,Anniston,AL,USA,"Anniston,AL,USA"
4699,Springfield,MO,USA,"Springfield,MO,USA"
4700,Charleston,WV,USA,"Charleston,WV,USA"
4701,Crestview,FL,USA,"Crestview,FL,USA"
4702,Biggs,CA,USA,"Biggs,CA,USA"
4703,Beloit,WI,USA,"Beloit,WI,USA"
4704,Plainfield,IL,USA,"Plainfield,IL,USA"
4705,Gretna,NE,USA,"Gretna,NE,USA"
4706,Goodyear,AZ,USA,"Goodyear,AZ,USA"
4707,Winchester,TN,USA,"Winchester,TN,USA"
4708,Lake Stevens,WA,USA,"Lake Stevens,WA,USA"
4709,Huntsville,AL,USA,"Huntsville,AL,USA"
4710,Leicester,NC,USA,"Leicester,NC,USA"
4711,Louisville,KY,USA,"Louisville,KY,USA"
4712,San Angelo,TX,USA,"San Angelo,TX,USA"
4713,Forest Hills (Queens),NY,USA,"Forest Hills (Queens),NY,USA"
4714,Ola,AR,USA,"Ola,AR,USA"
4715,Kingsport,TN,USA,"Kingsport,TN,USA"
4716,Scapoose,OR,USA,"Scapoose,OR,USA"
4717,Newburgh,IN,USA,"Newburgh,IN,USA"
4718,Newburgh,IN,USA,"Newburgh,IN,USA"
4719,Red Iron/Clear Lake,SD,USA,"Red Iron/Clear Lake,SD,USA"
4720,Aberdeen,WA,USA,"Aberdeen,WA,USA"
4721,Raymondville,TX,USA,"Raymondville,TX,USA"
4722,Burkesville,KY,USA,"Burkesville,KY,USA"
4723,Petaluma,CA,USA,"Petaluma,CA,USA"
4724,Casper,WY,USA,"Casper,WY,USA"
4725,Pikeville,TN,USA,"Pikeville,TN,USA"
4726,Quitman,MS,USA,"Quitman,MS,USA"
4727,North Plains,OR,USA,"North Plains,OR,USA"
4728,Honolulu,HI,USA,"Honolulu,HI,USA"
4729,Las Vegas,NV,USA,"Las Vegas,NV,USA"
4730,Las Vegas,NV,USA,"Las Vegas,NV,USA"
4731,Newington,CT,USA,"Newington,CT,USA"
4732,Deep River (Canada),ON,Canada,"Deep River (Canada),ON,Canada"
4733,Naperville,IL,USA,"Naperville,IL,USA"
4734,Peoria,IL,USA,"Peoria,IL,USA"
4735,North Tonawanda,NY,USA,"North Tonawanda,NY,USA"
4736,Santa Ana,CA,USA,"Santa Ana,CA,USA"
4737,Grove City,OH,USA,"Grove City,OH,USA"
4738,Shelby,NC,USA,"Shelby,NC,USA"
4739,Galesburg,IL,USA,"Galesburg,IL,USA"
4740,Pittsburgh,PA,USA,"Pittsburgh,PA,USA"
4741,Mojave,CA,USA,"Mojave,CA,USA"
4742,Naugatuck,CT,USA,"Naugatuck,CT,USA"
4743,Fort Payne,AL,USA,"Fort Payne,AL,USA"
4744,Long Beach,CA,USA,"Long Beach,CA,USA"
4745,Huntersville/North Charlotte,NC,USA,"Huntersville/North Charlotte,NC,USA"
4746,Corona de Tucson,AZ,USA,"Corona de Tucson,AZ,USA"
4747,Denver,CO,USA,"Denver,CO,USA"
4748,New Castle,CO,USA,"New Castle,CO,USA"
4749,Los Angeles,CA,USA,"Los Angeles,CA,USA"
4750,Toronto (Canada),ON,Canada,"Toronto (Canada),ON,Canada"
4751,Trenton,NJ,USA,"Trenton,NJ,USA"
4752,Springfield,MA,USA,"Springfield,MA,USA"
4753,Hope,AR,USA,"Hope,AR,USA"
4754,Nampa,ID,USA,"Nampa,ID,USA"
4755,Berkeleysprings,WV,USA,"Berkeleysprings,WV,USA"
4756,Forest Hills (Queens),NY,USA,"Forest Hills (Queens),NY,USA"
4757,Grand island,NY,USA,"Grand island,NY,USA"
4758,Waverly,OH,USA,"Waverly,OH,USA"
4759,Medford,OR,USA,"Medford,OR,USA"
4760,Little Switzerland,NC,USA,"Little Switzerland,NC,USA"
4761,Garrettsville,OH,USA,"Garrettsville,OH,USA"
4762,Pine City,NY,USA,"Pine City,NY,USA"
4763,London (UK/England),,United Kingdom,"London (UK/England),United Kingdom"
4764,La Follette ( Glade Springs area),TN,USA,"La Follette ( Glade Springs area),TN,USA"
4765,Oxford,MI,USA,"Oxford,MI,USA"
4766,Beldenville,WI,USA,"Beldenville,WI,USA"
4767,Bartlesville,OK,USA,"Bartlesville,OK,USA"
4768,Garden Grove,CA,USA,"Garden Grove,CA,USA"
4769,Holiday Shores,IL,USA,"Holiday Shores,IL,USA"
4770,Alden,NY,USA,"Alden,NY,USA"
4771,Cobb island,MD,USA,"Cobb island,MD,USA"
4772,Lahaina,HI,USA,"Lahaina,HI,USA"
4773,Delhi (India),,India,"Delhi (India),India"
4774,Tacoma,WA,USA,"Tacoma,WA,USA"
4775,Boise,ID,USA,"Boise,ID,USA"
4776,Rochester,NY,USA,"Rochester,NY,USA"
4777,Barnstable,MA,USA,"Barnstable,MA,USA"
4778,Nassau (Bahamas),,Bahamas,"Nassau (Bahamas),Bahamas"
4779,Lindenhurst,NY,USA,"Lindenhurst,NY,USA"
4780,Tom Bean,TX,USA,"Tom Bean,TX,USA"
4781,Tom Bean,TX,USA,"Tom Bean,TX,USA"
4782,Minneapolis,MN,USA,"Minneapolis,MN,USA"
4783,London (Canada),ON,Canada,"London (Canada),ON,Canada"
4784,Hooksett,NH,USA,"Hooksett,NH,USA"
4785,Curtin,WV,USA,"Curtin,WV,USA"
4786,Oshawa,ON,Canada,"Oshawa,ON,Canada"
4787,Myrtle Beach,SC,USA,"Myrtle Beach,SC,USA"
4788,Newcastle upon Tyne (UK/England),,United Kingdom,"Newcastle upon Tyne (UK/England),United Kingdom"
4789,Meriden,CT,USA,"Meriden,CT,USA"
4790,Lockport,NY,USA,"Lockport,NY,USA"
4791,Tallahassee,FL,USA,"Tallahassee,FL,USA"
4792,Lockport,NY,USA,"Lockport,NY,USA"
